	domain	phylum	class	order	family	genus	species
ASV_340	Eukaryota	NA	Eustigmatophyceae	Eustigmatales	NA	Nannochloropsis	NA
ASV_341	NA	NA	NA	NA	NA	NA	NA
ASV_342	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_343	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_344	NA	NA	NA	NA	NA	NA	NA
ASV_345	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_346	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	NA	Sinophysis	NA
ASV_347	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_348	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	NA	Sinophysis	NA
ASV_349	Eukaryota	Diatomea	NA	NA	NA	NA	NA
ASV_350	NA	NA	NA	NA	NA	NA	NA
ASV_351	NA	NA	NA	NA	NA	NA	NA
ASV_352	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_353	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_354	NA	NA	NA	NA	NA	NA	NA
ASV_355	Eukaryota	Protalveolata	Syndiniales	NA	NA	Duboscquella	NA
ASV_356	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	NA	NA
ASV_357	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_358	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_359	Eukaryota	NA	Raphidophyceae	Chattonellales	NA	Heterosigma	NA
ASV_360	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_361	NA	NA	NA	NA	NA	NA	NA
ASV_362	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Prostomatea	Cryptocaryon	NA
ASV_363	Eukaryota	Diatomea	Mediophyceae	NA	NA	Chaetoceros	NA
ASV_364	Eukaryota	NA	Choanoflagellida	NA	NA	NA	NA
ASV_365	Eukaryota	Diatomea	Mediophyceae	NA	NA	Thalassiosira	NA
ASV_366	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	Cyclidium	NA
ASV_367	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Prostomatea	Cryptocaryon	NA
ASV_368	NA	NA	NA	NA	NA	NA	NA
ASV_369	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	Cyclidium	NA
ASV_370	NA	NA	NA	NA	NA	NA	NA
ASV_371	Eukaryota	Diatomea	NA	NA	Rhizosolenids	Guinardia	NA
ASV_372	NA	NA	NA	NA	NA	NA	NA
ASV_373	Eukaryota	Protosporangiida	Protosporangiidae	NA	NA	Protosporangium	NA
ASV_374	Eukaryota	NA	Ichthyosporea	Abeoformidae	NA	Marine Ichthyosporeans 1	NA
ASV_375	NA	NA	NA	NA	NA	NA	NA
ASV_376	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	IN2411	NA	NA
ASV_377	Eukaryota	NA	NA	NA	NA	Telonema	NA
ASV_378	NA	NA	NA	NA	NA	NA	NA
ASV_379	NA	NA	NA	NA	NA	NA	NA
ASV_380	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group II	NA	NA
ASV_381	NA	NA	NA	NA	NA	NA	NA
ASV_382	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_383	NA	NA	NA	NA	NA	NA	NA
ASV_384	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_385	Eukaryota	Diatomea	Mediophyceae	NA	NA	Chaetoceros	NA
ASV_386	Eukaryota	NA	Dictyochophyceae	Pedinellales	NA	Pteridomonas	NA
ASV_387	Eukaryota	NA	Chrysophyceae	Ochromonadales	NA	Paraphysomonas	NA
ASV_388	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_389	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_390	NA	NA	NA	NA	NA	NA	NA
ASV_391	NA	NA	NA	NA	NA	NA	NA
ASV_392	NA	NA	NA	NA	NA	NA	NA
ASV_393	NA	NA	NA	NA	NA	NA	NA
ASV_394	Eukaryota	Protalveolata	Syndiniales	NA	NA	NA	NA
ASV_395	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
ASV_396	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_397	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_398	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_399	Eukaryota	NA	Choanoflagellida	NA	NA	NA	NA
ASV_400	NA	NA	NA	NA	NA	NA	NA
ASV_401	NA	NA	NA	NA	NA	NA	NA
ASV_402	NA	NA	NA	NA	NA	NA	NA
ASV_403	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	NA	NA
ASV_404	Eukaryota	Rhodellophyceae	NA	NA	NA	Rhodella	NA
ASV_405	NA	NA	NA	NA	NA	NA	NA
ASV_406	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Kareniaceae	Karlodinium	NA
ASV_407	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_408	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
